Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2",0603,2,1nF,
C3,0603,1,100nF,
D1,0603,1,blue front powerled,
D10,0603,1,LED dish bottom left,
D11,0603,1,LED dish bottom right,
D2,0603,1,lower front LED,
D3,0603,1,LED blue right,
D4,0603,1,LED blue left,
D5,0603,1,LED blue front,
D6,0603,1,LED red left,
D7,0603,1,LED red right,
D8,0603,1,LED dish top left,
D9,0603,1,LED dish top right,
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,GPIO,
J4,PinSocket_2x04_P2.54mm_Vertical,1,saucer connetion,
J5,PinHeader_2x03_P2.54mm_Vertical,1,SAO Connector,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7",0603,11,330,
"R8, R9",0603,2,10k,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003FxPx,
